framework_name,star_count,contributor_count,language
lobehub/lobe-chat,62450,30,TypeScript
FoundationAgents/MetaGPT,56380,30,Python
microsoft/autogen,45944,30,Python
crewAIInc/crewAI,32875,30,Python
agno-agi/agno,28232,30,Python
deepset-ai/haystack,21143,30,Python
huggingface/smolagents,20133,30,Python
openai/swarm,19919,13,Python
letta-ai/letta,16844,30,Python
eosphoros-ai/DB-GPT,16757,30,Python
TransformerOptimus/SuperAGI,16411,30,Python
raga-ai-hub/RagaAI-Catalyst,16188,26,Python
elizaOS/eliza,16068,30,TypeScript
langchain-ai/langgraph,14281,30,Python
mastra-ai/mastra,14173,30,TypeScript
bytedance/deer-flow,13472,30,TypeScript
camel-ai/camel,12900,30,Python
openai/openai-agents-python,11405,30,Python
pydantic/pydantic-ai,10223,30,Python
frdel/agent-zero,9783,18,Python
QwenLM/Qwen-Agent,9651,28,Python
Upsonic/Upsonic,7525,24,Python
SerpentAI/SerpentAI,6895,7,Python
crestalnetwork/intentkit,6418,15,Python
InternLM/MindSearch,6389,19,JavaScript
livekit/agents,6308,30,Python
TEN-framework/ten-framework,6156,30,C
lavague-ai/LaVague,6072,25,Python
awslabs/agent-squad,6025,23,Python
TencentQQGYLab/AppAgent,5882,5,Python
superduper-io/superduper,5082,30,Python
PySpur-Dev/pyspur,5070,13,TypeScript
kyegomez/swarms,4922,30,Python
coleam00/Archon,4884,11,Python
MervinPraison/PraisonAI,4849,20,Python
OpenBMB/AgentVerse,4614,20,JavaScript
AgentOps-AI/agentops,4546,30,Python
humanlayer/12-factor-agents,4361,15,TypeScript
truefoundry/cognita,4101,21,Python
alibaba/spring-ai-alibaba,4067,30,Java
VRSEN/agency-swarm,3708,19,Python
SylphAI-Inc/AdalFlow,3320,26,Python
cheshire-cat-ai/core,2805,30,Python
SciSharp/BotSharp,2764,30,C#
i-am-bee/beeai-framework,2520,30,TypeScript
Intelligent-Internet/ii-agent,2429,6,Python
cirosantilli/china-dictatorship,2411,5,HTML
griptape-ai/griptape,2313,30,Python
dot-agent/nextpy,2292,12,Python
InternLM/lagent,2145,30,Python
BAAI-Agents/Cradle,2111,6,Python
VoltAgent/voltagent,2069,21,TypeScript
MotiaDev/motia,2015,15,TypeScript
trypromptly/LLMStack,1961,8,Python
melih-unsal/DemoGPT,1836,4,Python
langchain-ai/langgraphjs,1633,30,TypeScript
openlit/openlit,1622,30,Python
ax-llm/ax,1542,15,TypeScript
agentuniverse-ai/agentUniverse,1486,27,Python
fetchai/uAgents,1384,30,Python
patched-codes/patchwork,1375,15,Python
ThousandBirdsInc/chidori,1316,3,Rust
LLPhant/LLPhant,1238,30,PHP
Div99/agent-protocol,1220,15,Python
guy-hartstein/company-research-agent,1202,3,Python
kaiban-ai/KaibanJS,1160,10,JavaScript
LangbaseInc/BaseAI,1072,10,TypeScript
