framework_name,star_count,contributor_count,language
lobehub/lobe-chat,62450,30,TypeScript
FoundationAgents/MetaGPT,56380,30,Python
microsoft/autogen,45944,30,Python
crewAIInc/crewAI,32875,30,Python
agno-agi/agno,28232,30,Python
deepset-ai/haystack,21143,30,Python
huggingface/smolagents,20133,30,Python
openai/swarm,19919,13,Python
letta-ai/letta,16844,30,Python
eosphoros-ai/DB-GPT,16757,30,Python
TransformerOptimus/SuperAGI,16411,30,Python
raga-ai-hub/RagaAI-Catalyst,16188,26,Python
elizaOS/eliza,16068,30,TypeScript
langchain-ai/langgraph,14281,204,Python
mastra-ai/mastra,14173,30,TypeScript
bytedance/deer-flow,13472,30,TypeScript
camel-ai/camel,12900,30,Python
openai/openai-agents-python,11405,30,Python
pydantic/pydantic-ai,10223,30,Python
frdel/agent-zero,9783,18,Python
QwenLM/Qwen-Agent,9651,28,Python
Upsonic/Upsonic,7525,24,Python
firerpa/lamda,7028,1,Python
SerpentAI/SerpentAI,6895,7,Python
crestalnetwork/intentkit,6418,15,Python
InternLM/MindSearch,6389,19,JavaScript
livekit/agents,6308,30,Python
TEN-framework/ten-framework,6156,30,C
lavague-ai/LaVague,6072,25,Python
awslabs/agent-squad,6025,23,Python
TencentQQGYLab/AppAgent,5882,5,Python
superduper-io/superduper,5082,30,Python
PySpur-Dev/pyspur,5070,13,TypeScript
kyegomez/swarms,4922,30,Python
coleam00/Archon,4884,11,Python
MervinPraison/PraisonAI,4849,20,Python
OpenBMB/AgentVerse,4614,20,JavaScript
AgentOps-AI/agentops,4546,30,Python
humanlayer/12-factor-agents,4361,15,TypeScript
truefoundry/cognita,4101,21,Python
alibaba/spring-ai-alibaba,4067,30,Java
VRSEN/agency-swarm,3708,19,Python
SylphAI-Inc/AdalFlow,3320,26,Python
cheshire-cat-ai/core,2805,30,Python
SciSharp/BotSharp,2764,30,C#
i-am-bee/beeai-framework,2520,30,TypeScript
Intelligent-Internet/ii-agent,2429,6,Python
cirosantilli/china-dictatorship,2411,5,HTML
griptape-ai/griptape,2313,30,Python
dot-agent/nextpy,2292,12,Python
InternLM/lagent,2145,30,Python
BAAI-Agents/Cradle,2111,6,Python
VoltAgent/voltagent,2069,21,TypeScript
MotiaDev/motia,2015,15,TypeScript
trypromptly/LLMStack,1961,8,Python
melih-unsal/DemoGPT,1836,4,Python
langchain-ai/langgraphjs,1633,30,TypeScript
openlit/openlit,1622,30,Python
ax-llm/ax,1542,15,TypeScript
gege-circle/.github,1497,3,
agentuniverse-ai/agentUniverse,1486,27,Python
fetchai/uAgents,1384,30,Python
patched-codes/patchwork,1375,15,Python
ThousandBirdsInc/chidori,1316,3,Rust
trycua/acu,1301,8,
LLPhant/LLPhant,1238,30,PHP
Div99/agent-protocol,1220,15,Python
guy-hartstein/company-research-agent,1202,3,Python
kaiban-ai/KaibanJS,1160,10,JavaScript
LangbaseInc/BaseAI,1072,10,TypeScript
e2b-dev/awesome-ai-sdks,951,8,
victordibia/autogen-ui,930,3,TypeScript
Thytu/Agentarium,921,2,Python
JetBrains/koog,908,28,Kotlin
video-db/Director,904,12,Python
metauto-ai/GPTSwarm,884,6,Python
dynamiq-ai/dynamiq,873,14,Python
humanlayer/humanlayer,852,12,Go
wrtnlabs/agentica,837,12,TypeScript
OpenBMB/IoA,725,3,Python
stacklok/codegate,687,28,Python
Canner/vulcan-sql,684,10,TypeScript
DataBassGit/AgentForge,665,6,Python
microsoft/AIOpsLab,614,12,Python
golf-mcp/golf,607,2,Python
i-am-bee/beeai-platform,595,20,Python
blorm-network/ZerePy,588,30,Python
heurist-network/heurist-agent-framework,574,16,Python
sdi2200262/agentic-project-management,542,1,
AgentEra/Agently-Daily-News-Collector,533,3,Python
aperoc/toolkami,513,1,Python
facebookresearch/MLGym,509,8,Python
letta-ai/agent-file,488,3,Python
mozilla-ai/any-agent,485,11,Python
daydreamsai/daydreams,470,21,TypeScript
agentjido/jido,460,5,Elixir
steel-dev/awesome-web-agents,458,4,
WORLD3-ai/world_ai_protocol,443,2,Move
agents-flex/agents-flex,441,30,Java
operand/agency,429,4,Python
quantalogic/quantalogic,424,3,Python
hypermodeinc/modus,387,19,Go
project-ryoma/ryoma,375,6,Python
Intelligent-Internet/ii-researcher,370,6,Python
ShoggothAI/motleycrew,369,5,Python
PaddlePaddle/ERNIE-SDK,365,11,Jupyter Notebook
ldclabs/anda,354,3,Rust
